listener,gear,date,stimulus_id,label,closeness,touched,issues,notes,mode_at_rating
"Andrzej","headphones","2026-09-21T07:48:18.569Z","F01","A",32,1,"too distorted / saturated; too bright / fizzy; noisy / artefacts","background hiss","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.569Z","F01","B",19,1,"too distorted / saturated","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.569Z","F01","C",27,1,"too distorted / saturated","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.569Z","F01","D",18,1,"too distorted / saturated","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.569Z","F01","E",90,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.569Z","F02","A",21,1,"too distorted / saturated; boomy","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.569Z","F02","B",29,1,"too distorted / saturated; boomy","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.569Z","F02","C",80,1,"noisy / artefacts","background hiss","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.569Z","F02","D",85,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.569Z","F02","E",57,1,"too distorted / saturated; boomy","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.569Z","F03","A",81,1,"noisy / artefacts","background hiss","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.569Z","F03","B",90,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F03","C",59,1,"noisy / artefacts; too bright / fizzy","background hiss","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F03","D",64,1,"not saturated enough / too clean","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F03","E",64,1,"too distorted / saturated","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F04","A",97,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F04","B",81,1,"noisy / artefacts","background hiss","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F04","C",82,1,"noisy / artefacts","background hiss","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F04","D",75,1,"noisy / artefacts","background hiss","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F04","E",81,1,"noisy / artefacts","background hiss","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F05","A",96,1,"","background hiss","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F05","B",92,1,"","background hiss","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F05","C",100,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F05","D",70,1,"not saturated enough / too clean","background hiss","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F05","E",72,1,"not saturated enough / too clean","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F06","A",100,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F06","B",88,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F06","C",85,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F06","D",90,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F06","E",88,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F07","A",97,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F07","B",94,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F07","C",91,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F07","D",90,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F07","E",90,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F08","A",95,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F08","B",93,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F08","C",89,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F08","D",81,1,"","background hiss","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F08","E",82,1,"","background hiss","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F09","A",94,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F09","B",92,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F09","C",89,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F09","D",90,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F09","E",67,1,"not saturated enough / too clean","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F10","A",95,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F10","B",91,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F10","C",92,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F10","D",91,1,"","","levelmatched"
"Andrzej","headphones","2026-09-21T07:48:18.570Z","F10","E",92,1,"","","levelmatched"
