stimulus,kind,title,A closeness (0-100),B closeness (0-100),C closeness (0-100),D closeness (0-100),closest (letter),which sound like a different amp when played harder/softer,notes
S01,single,Fender Super-Sonic Vibrolux: virtual gain 7 (Input gain fixed): soft picking,,,,,,,
S02,single,Fender Super-Sonic Vibrolux: virtual gain 3 (Input gain fixed): normal picking,,,,,,,
S03,sequence,"Fender Super-Sonic Vibrolux: virtual gain 7 (Input gain fixed): soft, then normal, then hard picking in one clip",,,,,,,
S04,single,Marshall JCM800: virtual gain 5 (Input gain fixed): hard picking,,,,,,,
S05,single,Fender Super-Sonic Vibrolux: virtual gain 3 (Input gain fixed): soft picking,,,,,,,
S06,single,Marshall JCM800: virtual gain 8 (Input gain fixed): hard picking,,,,,,,
S07,single,Fender Super-Sonic Vibrolux: virtual gain 10 (Input gain fixed): normal picking,,,,,,,
S08,single,Marshall JCM800: virtual gain 8 (Input gain fixed): normal picking,,,,,,,
S09,sequence,"Marshall JCM800: virtual gain 8 (Input gain fixed): soft, then normal, then hard picking in one clip",,,,,,,
S10,single,Marshall JCM800: virtual gain 5 (Input gain fixed): normal picking,,,,,,,
S11,single,Marshall JCM800: virtual gain 8 (Input gain fixed): soft picking,,,,,,,
S12,single,Fender Super-Sonic Vibrolux: virtual gain 7 (Input gain fixed): normal picking,,,,,,,
S13,single,Marshall JCM800: virtual gain 2 (Input gain fixed): normal picking,,,,,,,
S14,sequence,"Marshall JCM800: virtual gain 10 (Input gain fixed): soft, then normal, then hard picking in one clip",,,,,,,
S15,single,Marshall JCM800: virtual gain 10 (Input gain fixed): hard picking,,,,,,,
S16,single,Marshall JCM800: virtual gain 10 (Input gain fixed): soft picking,,,,,,,
S17,single,Fender Super-Sonic Vibrolux: virtual gain 10 (Input gain fixed): soft picking,,,,,,,
S18,single,Fender Super-Sonic Vibrolux: virtual gain 3 (Input gain fixed): hard picking,,,,,,,
S19,single,Fender Super-Sonic Vibrolux: virtual gain 5 (Input gain fixed): hard picking,,,,,,,
S20,single,Marshall JCM800: virtual gain 10 (Input gain fixed): normal picking,,,,,,,
S21,sequence,"Fender Super-Sonic Vibrolux: virtual gain 3 (Input gain fixed): soft, then normal, then hard picking in one clip",,,,,,,
S22,sequence,"Marshall JCM800: virtual gain 2 (Input gain fixed): soft, then normal, then hard picking in one clip",,,,,,,
S23,single,Marshall JCM800: virtual gain 5 (Input gain fixed): soft picking,,,,,,,
S24,single,Fender Super-Sonic Vibrolux: virtual gain 10 (Input gain fixed): hard picking,,,,,,,
S25,sequence,"Fender Super-Sonic Vibrolux: virtual gain 5 (Input gain fixed): soft, then normal, then hard picking in one clip",,,,,,,
S26,sequence,"Marshall JCM800: virtual gain 5 (Input gain fixed): soft, then normal, then hard picking in one clip",,,,,,,
S27,single,Marshall JCM800: virtual gain 2 (Input gain fixed): soft picking,,,,,,,
S28,single,Marshall JCM800: virtual gain 2 (Input gain fixed): hard picking,,,,,,,
S29,sequence,"Fender Super-Sonic Vibrolux: virtual gain 10 (Input gain fixed): soft, then normal, then hard picking in one clip",,,,,,,
S30,single,Fender Super-Sonic Vibrolux: virtual gain 7 (Input gain fixed): hard picking,,,,,,,
S31,single,Fender Super-Sonic Vibrolux: virtual gain 5 (Input gain fixed): soft picking,,,,,,,
S32,single,Fender Super-Sonic Vibrolux: virtual gain 5 (Input gain fixed): normal picking,,,,,,,
