listener,gear,date,stimulus_id,label,closeness,issues,notes,mode_at_rating
"Andrzej","Speakers","2026-09-20T23:29:47.071Z","S17","A",100,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.071Z","S17","B",57,"too distorted / saturated","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.071Z","S17","C",27,"too distorted / saturated; boomy; loudness wrong","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.071Z","S17","D",40,"too distorted / saturated","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.071Z","S07","A",90,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.071Z","S07","C",35,"too distorted / saturated; boomy","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.071Z","S07","D",35,"too distorted / saturated; boomy","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.071Z","S01","A",87,"too distorted / saturated","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.071Z","S01","B",99,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.071Z","S01","D",63,"too distorted / saturated","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.071Z","S30","A",85,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.071Z","S30","B",84,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.071Z","S03","A",72,"not saturated enough / too clean","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S03","B",74,"loudness wrong","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S03","C",32,"loudness wrong; not saturated enough / too clean","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S03","D",25,"not saturated enough / too clean","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S11","A",97,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S11","B",87,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S08","A",71,"not saturated enough / too clean","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S08","B",61,"not saturated enough / too clean","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S08","C",90,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S08","D",89,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S32","A",91,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S32","B",40,"too bright / fizzy; not saturated enough / too clean","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S32","C",95,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S32","D",97,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S10","A",96,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S10","B",92,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S10","C",88,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S10","D",76,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S04","A",90,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S04","B",91,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S04","C",92,"","","native"
"Andrzej","Speakers","2026-09-20T23:29:47.072Z","S04","D",91,"","","native"
