stimulus,amp,setting,DI,picking,closest_to_reference_1st,2nd,3rd,undesirable (harsh/fizzy/dull/thin/boomy/squashed/too clean/noisy/artefacts),loudness progression comment,notes
jcm800_cleaner_G2_clean_mayer_normal,jcm800,cleaner (G2),clean_mayer,normal,,,,,,
jcm800_cleaner_G2_moderate_brit_normal,jcm800,cleaner (G2),moderate_brit,normal,,,,,,
jcm800_transition_G4_clean_mayer_normal,jcm800,transition (G4),clean_mayer,normal,,,,,,
jcm800_transition_G4_clean_mayer_soft,jcm800,transition (G4),clean_mayer,soft,,,,,,
jcm800_transition_G4_clean_mayer_hard,jcm800,transition (G4),clean_mayer,hard,,,,,,
jcm800_transition_G4_moderate_brit_normal,jcm800,transition (G4),moderate_brit,normal,,,,,,
jcm800_transition_G4_moderate_brit_soft,jcm800,transition (G4),moderate_brit,soft,,,,,,
jcm800_transition_G4_moderate_brit_hard,jcm800,transition (G4),moderate_brit,hard,,,,,,
jcm800_saturated_G7_clean_mayer_normal,jcm800,saturated (G7),clean_mayer,normal,,,,,,
jcm800_saturated_G7_clean_mayer_soft,jcm800,saturated (G7),clean_mayer,soft,,,,,,
jcm800_saturated_G7_clean_mayer_hard,jcm800,saturated (G7),clean_mayer,hard,,,,,,
jcm800_saturated_G7_moderate_brit_normal,jcm800,saturated (G7),moderate_brit,normal,,,,,,
jcm800_saturated_G7_moderate_brit_soft,jcm800,saturated (G7),moderate_brit,soft,,,,,,
jcm800_saturated_G7_moderate_brit_hard,jcm800,saturated (G7),moderate_brit,hard,,,,,,
jcm800_top_G10_clean_mayer_normal,jcm800,top (G10),clean_mayer,normal,,,,,,
jcm800_top_G10_moderate_brit_normal,jcm800,top (G10),moderate_brit,normal,,,,,,
vibrolux_cleaner_G2_clean_mayer_normal,vibrolux,cleaner (G2),clean_mayer,normal,,,,,,
vibrolux_cleaner_G2_moderate_brit_normal,vibrolux,cleaner (G2),moderate_brit,normal,,,,,,
vibrolux_transition_G4_clean_mayer_normal,vibrolux,transition (G4),clean_mayer,normal,,,,,,
vibrolux_transition_G4_clean_mayer_soft,vibrolux,transition (G4),clean_mayer,soft,,,,,,
vibrolux_transition_G4_clean_mayer_hard,vibrolux,transition (G4),clean_mayer,hard,,,,,,
vibrolux_transition_G4_moderate_brit_normal,vibrolux,transition (G4),moderate_brit,normal,,,,,,
vibrolux_transition_G4_moderate_brit_soft,vibrolux,transition (G4),moderate_brit,soft,,,,,,
vibrolux_transition_G4_moderate_brit_hard,vibrolux,transition (G4),moderate_brit,hard,,,,,,
vibrolux_saturated_G7_clean_mayer_normal,vibrolux,saturated (G7),clean_mayer,normal,,,,,,
vibrolux_saturated_G7_clean_mayer_soft,vibrolux,saturated (G7),clean_mayer,soft,,,,,,
vibrolux_saturated_G7_clean_mayer_hard,vibrolux,saturated (G7),clean_mayer,hard,,,,,,
vibrolux_saturated_G7_moderate_brit_normal,vibrolux,saturated (G7),moderate_brit,normal,,,,,,
vibrolux_saturated_G7_moderate_brit_soft,vibrolux,saturated (G7),moderate_brit,soft,,,,,,
vibrolux_saturated_G7_moderate_brit_hard,vibrolux,saturated (G7),moderate_brit,hard,,,,,,
vibrolux_top_G10_clean_mayer_normal,vibrolux,top (G10),clean_mayer,normal,,,,,,
vibrolux_top_G10_moderate_brit_normal,vibrolux,top (G10),moderate_brit,normal,,,,,,
